"Id","Code","Name","Standard Class","Domain","Vocab","Validity","Concept"
42708083,1243010,"axitinib 1 MG Oral Tablet [Inlyta]","Branded Drug","Drug","RxNorm","Valid","Standard"
42708084,1243012,"axitinib 5 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
42708085,1243014,"axitinib 5 MG Oral Tablet [Inlyta]","Branded Drug","Drug","RxNorm","Valid","Standard"
42709322,1242999,"axitinib","Ingredient","Drug","RxNorm","Valid","Standard"
43532725,1430442,"afatinib 20 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
43532726,1430445,"afatinib Oral Tablet","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
43532727,1430447,"afatinib 20 MG [Gilotrif]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
43532728,1430448,"afatinib Oral Tablet [Gilotrif]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
43532729,1430450,"afatinib 30 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
43532730,1430452,"afatinib 30 MG [Gilotrif]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
43532731,1430454,"afatinib 40 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
43532732,1430456,"afatinib 40 MG [Gilotrif]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
43532924,1430446,"afatinib 20 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
43532925,1430449,"afatinib 20 MG Oral Tablet [Gilotrif]","Branded Drug","Drug","RxNorm","Valid","Standard"
43532926,1430451,"afatinib 30 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
43532927,1430453,"afatinib 30 MG Oral Tablet [Gilotrif]","Branded Drug","Drug","RxNorm","Valid","Standard"
43532928,1430455,"afatinib 40 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
43532929,1430457,"afatinib 40 MG Oral Tablet [Gilotrif]","Branded Drug","Drug","RxNorm","Valid","Standard"
43533090,1430438,"afatinib","Ingredient","Drug","RxNorm","Valid","Standard"
1361172,2178263,"bendamustine hydrochloride 25 MG/ML [Belrapzo]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
1361173,2178264,"bendamustine Injectable Solution [Belrapzo]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
1361175,2178266,"bendamustine hydrochloride 25 MG/ML Injectable Solution [Belrapzo]","Branded Drug","Drug","RxNorm","Valid","Standard"
19015523,134547,"bendamustine","Ingredient","Drug","RxNorm","Valid","Standard"
35604026,1726096,"bendamustine hydrochloride 25 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
35604027,1726097,"bendamustine hydrochloride 25 MG/ML Injectable Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
35604029,1726099,"bendamustine hydrochloride 25 MG/ML [Bendeka]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
35604030,1726100,"bendamustine Injectable Solution [Bendeka]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
35604031,1726102,"bendamustine hydrochloride 25 MG/ML Injectable Solution [Bendeka]","Branded Drug","Drug","RxNorm","Valid","Standard"
40149524,790322,"bendamustine Injectable Solution","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
40149525,790699,"bendamustine Injectable Solution [Treanda]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
40220994,1804999,"bendamustine hydrochloride 100 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
40220995,1805000,"bendamustine Injection","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
40220996,1805001,"bendamustine hydrochloride 100 MG Injection","Clinical Drug","Drug","RxNorm","Valid","Standard"
40220997,1805002,"bendamustine hydrochloride 100 MG [Treanda]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
40220998,1805003,"bendamustine Injection [Treanda]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
40220999,1805004,"bendamustine hydrochloride 100 MG Injection [Treanda]","Branded Drug","Drug","RxNorm","Valid","Standard"
40221001,1805006,"bendamustine hydrochloride 25 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
40221002,1805007,"bendamustine hydrochloride 25 MG Injection","Clinical Drug","Drug","RxNorm","Valid","Standard"
40221003,1805008,"bendamustine hydrochloride 25 MG [Treanda]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
40221004,1805009,"bendamustine hydrochloride 25 MG Injection [Treanda]","Branded Drug","Drug","RxNorm","Valid","Standard"
40221005,1805011,"2 ML bendamustine hydrochloride 90 MG/ML Injection","Quant Clinical Drug","Drug","RxNorm","Valid","Standard"
40221006,1805012,"2 ML bendamustine hydrochloride 90 MG/ML Injection [Treanda]","Quant Branded Drug","Drug","RxNorm","Valid","Standard"
40221007,1805013,"bendamustine hydrochloride 90 MG/ML Injection","Clinical Drug","Drug","RxNorm","Valid","Standard"
40221008,1805014,"bendamustine hydrochloride 90 MG/ML Injection [Treanda]","Branded Drug","Drug","RxNorm","Valid","Standard"
40221009,1805015,"0.5 ML bendamustine hydrochloride 90 MG/ML Injection","Quant Clinical Drug","Drug","RxNorm","Valid","Standard"
40221010,1805016,"0.5 ML bendamustine hydrochloride 90 MG/ML Injection [Treanda]","Quant Branded Drug","Drug","RxNorm","Valid","Standard"
40240463,1114694,"bendamustine hydrochloride 5 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
40240464,1114695,"bendamustine hydrochloride 5 MG/ML Injectable Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
40240465,1114697,"bendamustine hydrochloride 5 MG/ML Injectable Solution [Treanda]","Branded Drug","Drug","RxNorm","Valid","Standard"
40240466,1114696,"bendamustine hydrochloride 5 MG/ML [Treanda]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
44506436,1439850,"bendamustine hydrochloride 90 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
44506626,1439851,"bendamustine hydrochloride 90 MG/ML Injectable Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
45775389,1592726,"bendamustine hydrochloride 90 MG/ML [Treanda]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
45775390,1592727,"bendamustine hydrochloride 90 MG/ML Injectable Solution [Treanda]","Branded Drug","Drug","RxNorm","Valid","Standard"
1397141,253337,"bevacizumab","Ingredient","Drug","RxNorm","Valid","Standard"
1510542,2046143,"bevacizumab Injection [Mvasi]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
19025347,544556,"bevacizumab 25 MG/ML [Avastin]","Branded Drug Comp","Drug","RxNorm","Valid","Standard"
19108593,437105,"bevacizumab 25 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
37498211,2268042,"bevacizumab Injection [Zirabev]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
46275982,1657065,"bevacizumab Injection","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
46275983,1657066,"4 ML bevacizumab 25 MG/ML Injection","Quant Clinical Drug","Drug","RxNorm","Valid","Standard"
46275984,1657067,"bevacizumab Injection [Avastin]","Branded Drug Form","Drug","RxNorm","Valid","Standard"
46275985,1657068,"4 ML bevacizumab 25 MG/ML Injection [Avastin]","Quant Branded Drug","Drug","RxNorm","Valid","Standard"
46275986,1657069,"bevacizumab 25 MG/ML Injection","Clinical Drug","Drug","RxNorm","Valid","Standard"
46275987,1657070,"bevacizumab 25 MG/ML Injection [Avastin]","Branded Drug","Drug","RxNorm","Valid","Standard"
46275988,1657073,"16 ML bevacizumab 25 MG/ML Injection","Quant Clinical Drug","Drug","RxNorm","Valid","Standard"
46275989,1657074,"16 ML bevacizumab 25 MG/ML Injection [Avastin]","Quant Branded Drug","Drug","RxNorm","Valid","Standard"
793416,1995465,"neomycin sulfate 200 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
793417,1995466,"neomycin sulfate 200 MG/ML Oral Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
904164,249817,"neomycin 0.00385 MG/MG / triamcinolone 0.00105 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
914649,252625,"naphazoline 1 MG/ML / neomycin 3 MG/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
915210,562414,"bacitracin 0.5 UNT/MG / diperodon 0.01 MG/MG / neomycin 0.0035 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
915981,7299,"neomycin","Ingredient","Drug","RxNorm","Valid","Standard"
916173,211679,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Suspension [Cortomycin]","Branded Drug","Drug","RxNorm","Valid","Standard"
916175,213635,"bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Neotricin HC]","Branded Drug","Drug","RxNorm","Valid","Standard"
916176,213636,"bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Ocu-Cort]","Branded Drug","Drug","RxNorm","Valid","Standard"
916177,213699,"bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Neocin]","Branded Drug","Drug","RxNorm","Valid","Standard"
916178,244267,"dexamethasone 1 MG/ML / neomycin 5 MG/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
916179,244268,"dexamethasone 0.0005 MG/MG / neomycin 0.005 MG/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916180,244398,"dexamethasone 1 MG/ML / neomycin 5 MG/ML Topical Cream","Clinical Drug","Drug","RxNorm","Valid","Standard"
916202,246749,"flumethasone 0.0002 MG/MG / neomycin 0.005 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916204,247442,"betamethasone 1 MG/ML / neomycin 3.5 MG/ML Topical Lotion","Clinical Drug","Drug","RxNorm","Valid","Standard"
916205,247638,"fluorometholone 1 MG/ML / neomycin 5 MG/ML Ophthalmic Suspension","Clinical Drug","Drug","RxNorm","Valid","Standard"
916206,247885,"neomycin 500 MG/ML Topical Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
916207,248829,"acexamic acid 0.05 MG/MG / neomycin 0.004 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916209,249426,"dexamethasone 0.25 MG/ML / neomycin 5 MG/ML Otic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
916210,249511,"neomycin 250 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
916211,249535,"aluminum chlorohydrate 200 MG/ML / neomycin 3.5 MG/ML Topical Spray","Clinical Drug","Drug","RxNorm","Valid","Standard"
916242,249576,"betamethasone 1 MG/ML / neomycin 5 MG/ML Topical Cream","Clinical Drug","Drug","RxNorm","Valid","Standard"
916245,251172,"neomycin 5 MG/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
916246,251191,"neomycin 0.005 MG/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916247,251694,"aluminum chlorohydrate 200 MG/ML / neomycin 3.5 MG/ML Topical Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
916272,262191,"dexamethasone 1 MG/ML / neomycin 3.5 MG/ML Ophthalmic Solution [Neo-Dexair]","Branded Drug","Drug","RxNorm","Valid","Standard"
916273,283616,"bacitracin 400 UNT/ML / neomycin 3.5 MG/ML / polymyxin B 5000 UNT/ML Topical Cream","Clinical Drug","Drug","RxNorm","Valid","Standard"
916344,311928,"neomycin 0.0035 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916345,311929,"neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916347,311931,"neomycin 5 MG / prednisolone 5 MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916349,311933,"neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Topical Cream","Clinical Drug","Drug","RxNorm","Valid","Standard"
916351,316332,"neomycin 3.5 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916382,317436,"neomycin 5 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916383,328185,"neomycin 0.0035 MG/MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916386,328446,"neomycin 0.005 MG/MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916387,329136,"neomycin 40 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916388,331582,"neomycin 3.3 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916389,335168,"neomycin 250 MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916390,335272,"neomycin 500 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916391,335275,"neomycin 50 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916432,335276,"neomycin 3 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916433,335277,"neomycin 0.004 MG/MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916434,335279,"neomycin 0.00385 MG/MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916435,336762,"neomycin 7 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916436,336873,"neomycin 1.75 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916437,339995,"neomycin 5 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916439,346258,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Otic Ear Care]","Branded Drug","Drug","RxNorm","Valid","Standard"
916440,346259,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Otimar]","Branded Drug","Drug","RxNorm","Valid","Standard"
916462,347975,"hydrocortisone 10 MG/ML / neomycin 5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Suspension","Clinical Drug","Drug","RxNorm","Valid","Standard"
916463,351329,"gramicidin 0.02 MG/ML / neomycin 1.75 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Solution [Ocu-Spore-G]","Branded Drug","Drug","RxNorm","Valid","Standard"
916464,351355,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Cort-Biotic]","Branded Drug","Drug","RxNorm","Valid","Standard"
916465,351356,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Oti-sone]","Branded Drug","Drug","RxNorm","Valid","Standard"
916466,351358,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension [Cort-Biotic]","Branded Drug","Drug","RxNorm","Valid","Standard"
916467,351359,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension [Oti-sone]","Branded Drug","Drug","RxNorm","Valid","Standard"
916468,351492,"dexamethasone 0.001 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [AK-Trol]","Branded Drug","Drug","RxNorm","Valid","Standard"
916469,351493,"dexamethasone 0.001 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Ocu-Trol]","Branded Drug","Drug","RxNorm","Valid","Standard"
916471,351699,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Suspension [Ocutricin HC]","Branded Drug","Drug","RxNorm","Valid","Standard"
916493,351922,"bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Ocu-Spore-B]","Branded Drug","Drug","RxNorm","Valid","Standard"
916494,358618,"neomycin 3.85 MG/ML","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916495,384674,"neomycin 0.035 MG/MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
916498,419129,"hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916499,486118,"bacitracin 0.5 UNT/MG / neomycin 0.005 MG/MG / polymyxin B 0.4 UNT/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
916617,792119,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Otocidin]","Branded Drug","Drug","RxNorm","Valid","Standard"
916619,825186,"hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Suspension [Cortisporin]","Branded Drug","Drug","RxNorm","Valid","Standard"
920662,247436,"betamethasone 1 MG/ML / neomycin 3.5 MG/ML Topical Cream","Clinical Drug","Drug","RxNorm","Valid","Standard"
920715,249597,"betamethasone 0.001 MG/MG / neomycin 0.0035 MG/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
920754,251365,"betamethasone 1 MG/ML / neomycin 5 MG/ML Topical Lotion","Clinical Drug","Drug","RxNorm","Valid","Standard"
926067,545494,"oxytetracycline 200 MG/ML Injectable Solution [Geomycin]","Branded Drug","Drug","RxNorm","Valid","Standard"
948692,311888,"neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML / prednisolone 5 MG/ML Ophthalmic Suspension","Clinical Drug","Drug","RxNorm","Valid","Standard"
948693,313943,"dexamethasone 1 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
948694,313947,"dexamethasone 0.001 MG/MG / neomycin 0.005 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
948695,314124,"neomycin 40 MG/ML / polymyxin B 200000 UNT/ML Irrigation Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
948696,314994,"bacitracin 0.4 UNT/MG / diperodon 0.01 MG/MG / neomycin 0.005 MG/MG / polymyxin B 5 UNT/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
948697,315156,"neomycin 3.5 MG/ML / polymyxin B 16250 UNT/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
948727,347798,"bacitracin 0.4 UNT/MG / neomycin 0.035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
948752,389116,"bacitracin 0.4 UNT/MG / neomycin 0.005 MG/MG / polymyxin B 10 UNT/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
948755,562768,"gramicidin 0.02 MG/ML / neomycin 1.75 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
956307,244399,"flurandrenolide 0.5 MG/ML / neomycin 5 MG/ML Topical Cream","Clinical Drug","Drug","RxNorm","Valid","Standard"
964049,1999890,"bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG / pramoxine hydrochloride 0.01 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
975508,244266,"hydrocortisone 15 MG/ML / neomycin 50 MG/ML Ophthalmic Suspension","Clinical Drug","Drug","RxNorm","Valid","Standard"
975582,247726,"hydrocortisone 0.01 MG/MG / neomycin 0.005 MG/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
975642,251357,"hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
975643,251427,"hydrocortisone 10 MG/ML / neomycin 5 MG/ML Ophthalmic Suspension","Clinical Drug","Drug","RxNorm","Valid","Standard"
975645,252341,"hydrocortisone 10 MG/ML / neomycin 7 MG/ML Ophthalmic Suspension","Clinical Drug","Drug","RxNorm","Valid","Standard"
975646,252494,"hydrocortisone 0.005 MG/MG / neomycin 0.005 MG/MG Ophthalmic Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
976076,419128,"hydrocortisone 0.015 MG/MG / neomycin 0.005 MG/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
976078,485348,"hydrocortisone 10 MG/ML / neomycin 5 MG/ML / polymyxin B 10000 UNT/ML Ophthalmic Solution","Clinical Drug","Drug","RxNorm","Valid","Standard"
976213,657561,"bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG Topical Ointment","Clinical Drug","Drug","RxNorm","Valid","Standard"
991910,248677,"loperamide 2 MG / neomycin 250 MG Oral Tablet","Clinical Drug","Drug","RxNorm","Valid","Standard"
1329241,1622,"bleomycin","Ingredient","Drug","RxNorm","Valid","Standard"
1355741,2105777,"neomycin 0.025 MG/MG","Clinical Drug Comp","Drug","RxNorm","Valid","Standard"
1355743,2105779,"neomycin / nystatin / thiostrepton / triamcinolone Topical Ointment","Clinical Drug Form","Drug","RxNorm","Valid","Standard"
